Date,Price,Open,High,Low,Vol.,Change %,Pred,new
"Aug 29, 2018",30144,29977,30168,29977,6.08K,0.54%,143,359.0640491
"Aug 30, 2018",30131,30110,30269,30082,6.31K,-0.04%,-5,208.3046008
"Aug 31, 2018",30116,30224,30298,30055,5.78K,-0.05%,386,135.4931958
"Sep 03, 2018",30327,30075,30448,30062,1.44K,0.70%,183,641.4026346
"Sep 04, 2018",30221,30238,30300,30154,0.17K,-0.35%,240,129.3244014
"Sep 05, 2018",30310,30257,30494,30250,0.05K,0.29%,-103,297.4839669
"Sep 06, 2018",30565,30366,30693,30366,14.80K,0.84%,71,528.1429559
"Sep 07, 2018",30509,30643,30643,30405,9.44K,-0.18%,684,104.8140766
"Sep 10, 2018",30725,30549,30748,30526,11.42K,0.71%,245,399.4472253
"Sep 11, 2018",30732,30660,30744,30559,11.40K,0.02%,464,258.0473183
"Sep 12, 2018",30664,30682,30779,30443,15.88K,-0.22%,823,320.4391814
"Sep 13, 2018",30470,30576,30690,30450,6.63K,-0.63%,178,134.1576355
"Sep 14, 2018",30453,30501,30648,30401,11.82K,-0.06%,157,199.4224861
"Sep 17, 2018",30778,30509,30800,30509,13.77K,1.07%,247,562.5657675
"Sep 18, 2018",30811,30710,30925,30652,11.96K,0.11%,219,375.4161229
"Sep 19, 2018",30649,30821,30936,30634,13.10K,-0.53%,289,130.1478749
"Sep 20, 2018",30623,30700,30700,30585,3.97K,-0.08%,306,38.1428805
"Sep 21, 2018",30609,30731,30910,30455,15.51K,-0.05%,681,335.3007716
"Sep 24, 2018",30862,30620,30899,30620,10.49K,0.83%,205,523.2050294
"Sep 25, 2018",30838,30821,30864,30755,7.69K,-0.08%,255,126.2941636
"Sep 26, 2018",30608,30824,30830,30587,9.12K,-0.75%,510,27.16683558
"Sep 27, 2018",30356,30738,30738,30321,10.28K,-0.82%,904,35.48134956
"Sep 28, 2018",30479,30398,30520,30264,8.85K,0.41%,576,338.8186624
"Oct 01, 2018",30614,30399,30660,30376,2.22K,0.44%,261,501.2251778
"Oct 03, 2018",31025,30890,31168,30889,0.19K,1.34%,-4,415.2283985
"Oct 04, 2018",31136,31072,31164,31015,0.04K,0.36%,264,213.5812994
"Oct 05, 2018",31233,31101,31288,30985,0.07K,0.31%,541,437.4251735
"Oct 08, 2018",31096,31369,31389,31083,9.96K,-0.44%,578,33.12797992
"Oct 09, 2018",31161,31200,31275,31115,7.31K,0.21%,187,121.2365419
"Oct 10, 2018",31247,31235,31265,31151,6.58K,0.28%,330,126.351321
"Oct 11, 2018",31793,31300,31815,31250,17.38K,1.75%,671,1067.81744
"Oct 12, 2018",31670,31699,31720,31574,10.61K,-0.39%,421,117.4439095
"Oct 15, 2018",31877,31723,32075,31723,14.31K,0.65%,-44,507.7087917
"Oct 16, 2018",31701,31877,31957,31680,10.71K,-0.55%,356,101.1836174
"Oct 17, 2018",31702,31670,31839,31635,8.63K,0.00%,35,236.4320531
"Oct 18, 2018",31885,31670,31909,31638,5.54K,0.58%,319,488.1157153
"Oct 19, 2018",31737,31805,31867,31703,7.59K,-0.46%,210,96.17588241
"Oct 22, 2018",31729,31738,31749,31641,6.73K,-0.03%,359,99.30036977
"Oct 23, 2018",31871,31721,32053,31721,13.47K,0.45%,-32,483.5699379
"Oct 24, 2018",31723,31820,31844,31585,9.82K,-0.46%,722,163.1316131
"Oct 25, 2018",31683,31800,31912,31663,9.54K,-0.13%,202,132.1572814
"Oct 26, 2018",31764,31779,31993,31725,13.31K,0.26%,-28,253.3294563
"Oct 29, 2018",31730,31847,31847,31692,6.67K,-0.11%,386,38.18585132
"Oct 30, 2018",31725,31755,31789,31651,5.96K,-0.02%,322,108.3226438
"Oct 31, 2018",31631,31650,31780,31590,5.67K,-0.30%,72,171.246597
"Nov 01, 2018",31783,31671,31818,31619,1.58K,0.48%,285,312.0321642
"Nov 02, 2018",31737,31737,31999,31530,0.54K,-0.14%,566,472.0790676
"Nov 05, 2018",31783,31785,31898,31630,0.18K,0.14%,503,267.2963642
"Nov 06, 2018",31657,31718,31869,31641,9.16K,-0.40%,35,167.1152934
"Nov 07, 2018",31602,31660,31678,31530,1.80K,-0.17%,386,90.33796384
"Nov 08, 2018",31408,31551,31551,31234,6.11K,-0.61%,982,175.7659602
"Nov 09, 2018",31023,31302,31383,30965,10.71K,-1.23%,709,139.7829485
"Nov 12, 2018",31014,31106,31178,30975,7.77K,-0.03%,268,111.2555932
"Nov 13, 2018",30778,31110,31110,30756,8.28K,-0.76%,752,22.25321888
"Nov 14, 2018",30838,30700,30867,30620,7.55K,0.19%,429,386.7585238
"Nov 15, 2018",30831,30830,30939,30753,8.71K,-0.02%,201,187.4717589
"Nov 16, 2018",31017,30856,31158,30830,10.10K,0.60%,124,490.9894908
"Nov 19, 2018",30888,31068,31068,30785,8.15K,-0.42%,772,103.9468572
"Nov 20, 2018",30830,30811,30994,30800,8.35K,-0.19%,-101,213.188961
"Nov 21, 2018",30839,30800,30910,30750,7.74K,0.03%,168,199.4630894
"Nov 22, 2018",30613,30852,30899,30555,9.81K,-0.73%,663,105.6529864
"Nov 23, 2018",30513,30551,30566,30427,4.66K,-0.33%,405,101.3928747
"Nov 26, 2018",30574,30472,30672,30470,7.68K,0.20%,12,304.689465
"Nov 27, 2018",30423,30585,30648,30389,7.86K,-0.49%,397,97.28977591
"Nov 28, 2018",30457,30400,30593,30270,8.40K,0.11%,441,381.995408
"Nov 29, 2018",30253,30399,30399,30210,6.69K,-0.67%,464,43.26901688
"Nov 30, 2018",30186,30233,30320,30155,7.63K,-0.22%,131,118.1696236
"Dec 03, 2018",30787,30322,30850,30257,1.60K,1.99%,662,1068.387348
"Dec 04, 2018",30964,30874,31085,30874,0.08K,0.57%,-31,301.6150807
"Dec 05, 2018",30926,30830,30970,30825,0.04K,-0.12%,72,241.4751014
"Dec 06, 2018",31005,31039,31196,30974,10.55K,0.26%,35,188.2221863
"Dec 07, 2018",31440,31011,31480,30941,11.24K,1.40%,669,976.6927055
"Dec 10, 2018",31895,31459,31966,31420,14.09K,1.45%,521,990.2542966
"Dec 11, 2018",31812,31850,31850,31618,10.53K,-0.26%,,195.4234929
"Dec 12, 2018",31626,31749,31749,31582,7.57K,-0.58%,,44.23266418
"Dec 13, 2018",31414,31550,31600,31337,8.43K,-0.67%,,127.6462329
"Dec 14, 2018",31437,31440,31514,31384,6.75K,0.07%,,127.2195386
"Dec 17, 2018",31501,31369,31530,31291,5.97K,0.20%,,372.6039756
"Dec 18, 2018",31075,31589,31650,31041,10.18K,-1.35%,,95.66705325
"Dec 19, 2018",31139,31167,31500,30967,8.76K,0.21%,,507.9604418
"Dec 20, 2018",31219,31027,31250,30914,12.97K,0.26%,,531.3150029
"Dec 21, 2018",31126,31115,31292,31075,9.91K,-0.30%,,228.3561384
"Dec 24, 2018",31375,31300,31395,31177,8.57K,0.80%,,294.3844822
"Dec 26, 2018",31463,31430,31643,31400,10.03K,0.28%,,276.4875478
"Dec 27, 2018",31611,31499,31647,31426,8.01K,0.47%,,334.3009928
"Dec 28, 2018",31506,31576,31629,31462,6.64K,-0.33%,,97.23355159
"Dec 31, 2018",31489,31452,31583,31284,6.60K,-0.05%,,337.9593083
"Jan 01, 2019",31560,31550,31651,31410,0.68K,0.23%,,252.1509074
"Jan 02, 2019",31934,31530,32500,31510,0.40K,1.19%,,1407.321485
"Jan 03, 2019",31939,32000,32045,31836,0.17K,0.02%,,148.6761842
"Jan 04, 2019",31679,32686,32686,31460,0.06K,-0.81%,,227.5344565
"Jan 07, 2019",31652,31536,31748,31456,12.80K,-0.09%,,409.8194303
"Jan 08, 2019",31736,31616,31758,31572,10.84K,0.27%,,306.9661726
"Jan 09, 2019",31993,31685,32016,31639,14.63K,0.81%,,689.2181485
"Jan 10, 2019",31878,32090,32119,31855,13.33K,-0.36%,,52.19061372
"Jan 11, 2019",31924,31907,32065,31888,10.56K,0.14%,,194.1998244
"Jan 14, 2019",32130,32050,32194,31963,13.65K,0.65%,,312.2069268
"Jan 15, 2019",32169,32066,32273,32064,12.59K,0.12%,,312.6844124
"Jan 16, 2019",32272,32148,32299,32103,11.36K,0.32%,,321.0318039
"Jan 17, 2019",32253,32300,32363,32190,12.92K,-0.06%,,126.3385834
"Jan 18, 2019",32089,32295,32305,32052,12.63K,-0.51%,,47.29205666
"Jan 21, 2019",32039,32052,32184,31985,8.90K,-0.16%,,186.33597
"Jan 22, 2019",32154,32030,32189,31949,12.04K,0.36%,,365.5399543
"Jan 23, 2019",32135,32105,32199,32060,10.91K,-0.06%,,169.3251716
"Jan 24, 2019",32016,32100,32147,31986,9.55K,-0.37%,,77.15100356
"Jan 25, 2019",32339,32057,32367,32019,13.03K,1.01%,,633.477935
"Jan 28, 2019",32536,32383,32570,32383,10.90K,0.61%,,340.8835191
"Jan 29, 2019",32891,32570,32967,32530,13.05K,1.09%,,762.849585
"Jan 30, 2019",32903,32900,32975,32807,9.82K,0.04%,,171.4916024
"Jan 31, 2019",33100,32937,33245,32903,10.39K,0.60%,,507.0476552
"Feb 01, 2019",33405,33119,33500,32997,3.12K,0.92%,,795.2194745
"Feb 04, 2019",33455,34247,34400,33285,0.42K,0.15%,,328.6947574
"Feb 05, 2019",33381,33549,33549,33250,0.13K,-0.22%,,132.178015
"Feb 06, 2019",33222,33199,33378,33175,7.27K,-0.48%,,226.2875961
"Feb 07, 2019",33056,33169,33200,32951,10.60K,-0.50%,,136.7934509
"Feb 08, 2019",33125,33000,33142,32910,9.43K,0.21%,,358.5156487
"Feb 11, 2019",32931,33060,33082,32811,11.15K,-0.59%,,142.991131
"Feb 12, 2019",32747,32915,32945,32721,9.36K,-0.56%,,56.17798967
"Feb 13, 2019",32909,32727,33028,32680,10.85K,0.49%,,532.4385557
"Feb 14, 2019",32970,32862,33000,32765,11.45K,0.19%,,344.4703189
"Feb 15, 2019",33263,32992,33280,32992,11.79K,0.89%,,561.3656644
"Feb 18, 2019",33463,33333,33484,33333,8.88K,0.60%,,281.5889059
"Feb 19, 2019",33753,33499,33797,33434,11.91K,0.87%,,620.4634504
"Feb 20, 2019",33719,33800,33877,33680,9.09K,-0.10%,,116.2281176
"Feb 21, 2019",33302,33630,33658,33265,14.50K,-1.24%,,65.43712611
"Feb 22, 2019",33369,33302,33413,33190,9.55K,0.20%,,291.2026815
"Feb 25, 2019",33159,33385,33398,33130,8.44K,-0.63%,,42.23459101
"Feb 26, 2019",33228,33225,33450,33205,9.01K,0.21%,,248.1697034
"Feb 27, 2019",33171,33300,33466,33138,9.40K,-0.17%,,199.3266341
"Feb 28, 2019",32902,33189,33260,32877,8.13K,-0.81%,,96.29123704
"Mar 01, 2019",32533,32857,32953,31915,1.56K,-1.12%,,734.099765
"Mar 04, 2019",32505,32394,32601,32315,0.15K,-0.09%,,398.681572
"Mar 05, 2019",32015,33435,33440,32000,0.24K,-1.51%,,20.675
"Mar 06, 2019",31954,32136,32300,31885,16.71K,-0.19%,,233.8980712
"Mar 07, 2019",31946,31959,31980,31800,14.75K,-0.03%,,167.8264151
"Mar 08, 2019",32174,31980,32235,31955,16.62K,0.71%,,475.9189485
"Mar 11, 2019",31915,32214,32214,31897,12.41K,-0.80%,,18.1788883
"Mar 12, 2019",32015,31906,32056,31885,12.06K,0.31%,,280.697193
"Mar 13, 2019",32225,32088,32330,32088,13.82K,0.66%,,380.0332211
"Mar 14, 2019",31832,32274,32274,31813,17.21K,-1.22%,,19.2753277
"Mar 15, 2019",31853,31895,31960,31768,13.20K,0.07%,,150.5137245
"Mar 18, 2019",31685,31800,31815,31590,12.27K,-0.53%,,110.6766382
"Mar 19, 2019",31985,31750,32017,31691,14.67K,0.95%,,564.0243287
"Mar 20, 2019",31740,31961,31961,31704,14.38K,-0.77%,,36.29182438
"Mar 21, 2019",31842,31899,32064,31806,9.41K,0.32%,,201.2920204
"Mar 22, 2019",32155,31869,32184,31748,19.21K,0.98%,,727.5893915
"Mar 25, 2019",32223,32199,32245,32083,14.02K,0.21%,,186.7069164
"Mar 26, 2019",32113,32200,32200,32031,13.04K,-0.34%,,82.43264338
"Mar 27, 2019",32019,32101,32182,32000,17.72K,-0.29%,,100.1080625
"Mar 28, 2019",31624,31993,32030,31591,15.06K,-1.23%,,70.45857998
"Mar 29, 2019",31703,31600,31788,31510,11.36K,0.25%,,382.702761
"Apr 01, 2019",31570,31588,31730,31542,4.52K,-0.42%,,170.1668886
"Apr 02, 2019",31535,31550,31590,31359,0.39K,-0.11%,,217.2964699
"Apr 03, 2019",31450,31499,31607,31318,0.17K,-0.27%,,241.2180854
"Apr 04, 2019",31503,31499,31549,31350,0.07K,0.17%,,203.9711962
"Apr 05, 2019",31566,31535,31620,31400,0.06K,0.20%,,252.1630573
"Apr 08, 2019",32076,31795,32155,31795,12.90K,1.62%,,644.1816323
"Apr 09, 2019",32098,32131,32171,32020,11.01K,0.07%,,118.3678326
"Apr 10, 2019",32174,32070,32197,31968,11.74K,0.24%,,334.4756632
"Apr 11, 2019",31663,32148,32148,31638,17.11K,-1.59%,,25.4029964
"Apr 12, 2019",31760,31721,31871,31705,11.01K,0.31%,,205.2879672
"Apr 15, 2019",31760,31710,31791,31570,8.54K,0.00%,,272.3300602
"Apr 16, 2019",31474,31700,31768,31453,14.48K,-0.90%,,89.2103138
"Apr 17, 2019",31410,31500,31525,31393,5.65K,-0.20%,,42.0714809
"Apr 18, 2019",31403,31474,31544,31355,9.87K,-0.02%,,118.2893318
"Apr 22, 2019",31531,31497,31697,31497,9.89K,0.41%,,234.2158936
"Apr 23, 2019",31525,31490,31566,31401,9.92K,-0.02%,,200.6515716
"Apr 24, 2019",31759,31480,31799,31450,12.64K,0.74%,,631.4289666
"Apr 25, 2019",31843,31750,31926,31641,11.64K,0.26%,,379.8194747
"Apr 26, 2019",31868,31851,31934,31705,9.67K,0.08%,,247.1773222
"Apr 30, 2019",31625,31800,31824,31597,6.44K,-0.76%,,52.20115834
"May 01, 2019",31563,31604,31657,31503,1.55K,-0.20%,,113.2933054
"May 02, 2019",31203,31420,31425,31160,0.48K,-1.14%,,48.3656932
"May 03, 2019",31341,31250,31500,31163,0.08K,0.44%,,429.924911
